location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc6656_ejected,3.1,0.146133272,0.649845869,16.268251,16.535731,0.099738781
ngc5139_ejected,4.9,0.109787222,0.511740235,15.33728,22.170506,0.097065663
ngc6626_ejected,5.5,0.072093745,0.451688039,11.573288,12.68921,0.096838778
ngc7078_ejected,10.0,0.196629208,0.793668126,18.60969,19.728788,0.096667376
ngc6397_ejected,2.2,0.1782891,0.632206784,17.60829,23.505324,0.094493427
ngc5272_ejected,9.7,0.086816256,0.558551216,14.917099,14.064978,0.094096444
ngc6401_ejected,7.2,0.095743459,0.564003797,16.60177,13.23256,0.092793145
ngc6293_ejected,8.6,0.132420528,0.680662307,16.95102,17.412064,0.091884489
ngc5986_ejected,10.0,0.086816256,0.558551216,14.917099,14.064978,0.091273551
ngc104_ejected,4.1,0.093776386,0.184282736,35.879185,16.921792,0.089863199
ngc6356_ejected,13.8,0.078266137,0.59346992,12.258291,12.790494,0.089617011
ngc6388_ejected,10.9,0.196629208,0.793668126,18.60969,19.728788,0.088685666
ngc6266_ejected,6.6,0.086563547,0.395400705,18.025703,18.303755,0.088129986
ngc6121_ejected,2.1,0.111523334,0.436316405,16.861954,16.597825,0.087454348
ngc5904_ejected,7.0,0.066221493,0.299781377,17.168441,12.979876,0.087074622
ngc6637_ejected,7.8,0.095743459,0.564003797,16.60177,13.23256,0.085655211
ngc4590_ejected,9.9,0.183939756,0.779521325,16.558611,19.529088,0.084469596
ngc7006_ejected,39.5,0.256967278,0.923325278,13.581121,13.246598,0.083030413
ngc6569_ejected,8.1,0.095743459,0.564003797,16.60177,13.23256,0.082482796
ngc7089_ejected,11.1,0.086816256,0.558551216,14.917099,14.064978,0.082228424
ngc6715_ejected,25.4,0.077080316,0.534977211,15.315395,18.296005,0.079515674
ngc6352_ejected,5.3,0.092677628,0.226870554,19.417786,29.377689,0.077113597
ngc6656_ejected,3.1,0.143065424,0.62774361,18.509969,13.287604,0.076697224
ngc362_ejected,8.0,0.066221493,0.299781377,17.168441,12.979876,0.076190295
ngc6341_ejected,8.0,0.066221493,0.299781377,17.168441,12.979876,0.076190295
ngc6541_ejected,7.2,0.072093745,0.451688039,11.573288,12.68921,0.073974066
ngc104_ejected,4.1,0.15657409,0.653638425,19.364551,16.169325,0.073460787
ngc5139_ejected,4.9,0.263863434,0.831366702,14.109127,19.570648,0.072655724
ngc1851_ejected,11.7,0.053143114,0.187870201,12.249768,16.922931,0.072048031
ngc6440_ejected,7.5,0.072093745,0.451688039,11.573288,12.68921,0.071015104
ngc6864_ejected,17.7,0.078266137,0.59346992,12.258291,12.790494,0.06987089
ngc5139_ejected,4.9,0.227266974,0.780636529,18.16822,18.191077,0.0693591
Djor2_ejected,13.2,0.086816256,0.558551216,14.917099,14.064978,0.069146629
ngc104_ejected,4.1,0.116533953,0.139643827,27.987063,40.5,0.068441282
ngc6553_ejected,4.1,0.319155664,0.925751023,7.655088,7.7811735,0.067186727
ngc104_ejected,4.1,0.088144268,0.139771465,21.044207,23.93546,0.066623046
ngc2298_ejected,10.4,0.1398832,0.49712319,28.918577,32.073277,0.065754724
ngc6539_ejected,7.5,0.105569551,0.538252428,17.864106,15.396291,0.065701787
